Type,Price,Bedrooms,Bathrooms,Area,Furnished,Level,Compound,Payment_Option,Delivery_Date,Delivery_Term,City
Chalet,615000,2,1,80.0,No,1,Santa Claus Ras Sedr,Cash or Installment,Ready to move,Finished,Ras Sedr
Chalet,141000,1,1,65.0,Yes,1,Palm Beach,Cash or Installment,Unknown,Finished,Ain Sukhna
Standalone Villa,950000,4,3,212.0,No,Ground,Unknown,Cash or Installment,Unknown,Unknown ,North Coast
Chalet,1105000,2,2,85.0,No,2,Agora,Cash or Installment,Unknown,Finished,North Coast
Chalet,728000,1,1,55.0,Unknown,2,Agora,Cash or Installment,Unknown,Finished,North Coast
Chalet,2182400,2,2,140.0,No,Ground,Mousa Coast,Cash or Installment,2024,Finished,Ras Sedr
Chalet,1012500,1,1,70.0,Yes,2,Mousa Coast,Cash,Ready to move,Finished,Ras Sedr
Chalet,1350000,1,1,67.0,Yes,1,Mousa Coast,Cash or Installment,Ready to move,Finished,Ras Sedr
Chalet,1350000,2,2,90.0,No,1,Mousa Coast,Cash or Installment,Ready to move,Finished,Ras Sedr
Chalet,1105000,2,2,85.0,Unknown,2,Agora,Cash or Installment,Unknown,Finished,North Coast
Chalet,728000,1,1,55.0,No,3,Agora,Cash or Installment,Unknown,Finished,North Coast
Chalet,1105000,2,2,85.0,No,Ground,Agora,Unknown Payment,Unknown,Finished,North Coast
Chalet,728000,1,1,55.0,No,3,Agora,Cash or Installment,Unknown,Finished,North Coast
Chalet,1105000,2,2,85.0,No,2,Agora,Cash or Installment,Unknown,Finished,North Coast
Chalet,2800000,2,2,80.0,Yes,8,Unknown,Cash,Unknown,Finished,North Coast
Town House,450000,3,2,145.0,No,Ground,Mountain View North Coast,Cash or Installment,Unknown,Finished,North Coast
Chalet,2600000,3,2,123.0,No,1,Murano Ain Sokhna,Cash,Ready to move,Finished,Ain Sukhna
Chalet,500000,3,2,144.0,No,Ground,Unknown,Cash or Installment,2023,Finished,North Coast
Chalet,1950000,3,1,130.0,Yes,1,Orlando,Cash,Ready to move,Finished,Ain Sukhna
Chalet,1000000,2,2,80.0,Yes,1,Porto Golf Marina,Cash,Ready to move,Finished,North Coast
Chalet,570000,2,1,120.0,Unknown,Unknown,Unknown,Cash or Installment,Unknown,Finished,Ain Sukhna
Duplex,1400000,1,1,70.0,No,2,The Groove,Installment,Unknown,Finished,Ain Sukhna
Chalet,800000,1,1,45.0,Unknown,1,Unknown,Unknown Payment,Unknown,Unknown ,North Coast
Chalet,1350000,2,2,120.0,Yes,4,Unknown,Cash,Unknown,Finished,North Coast
Standalone Villa,20000000,5,5,260.0,Yes,Unknown,Telal North Coast,Cash,Ready to move,Finished,North Coast
Standalone Villa,2300000,5,5,720.0,No,Unknown,Hacienda Bay,Installment,Ready to move,Semi Finished,North Coast
Town House,558000,4,3,180.0,Unknown,Unknown,Unknown,Cash or Installment,Unknown,Unknown ,North Coast
Chalet,558000,3,2,125.0,Unknown,Unknown,Mountain View North Coast,Cash or Installment,Unknown,Finished,North Coast
Chalet,570000,4,3,182.0,Unknown,Ground,Unknown,Cash or Installment,Unknown,Finished,North Coast
Chalet,475000,3,2,144.0,Unknown,Ground,Unknown,Cash or Installment,Unknown,Finished,North Coast
Twin house,860000,5,4,225.0,Unknown,Unknown,Jefaira,Cash or Installment,Unknown,Unknown ,North Coast
Standalone Villa,26000000,6,7,,No,Unknown,Unknown,Cash,Ready to move,Not Finished,North Coast
Chalet,320000,3,2,110.0,No,3,Unknown,Unknown Payment,Unknown,Finished,Ain Sukhna
Chalet,650000,3,2,125.0,No,Ground,Unknown,Cash or Installment,Unknown,Finished,Ain Sukhna
Chalet,220000,2,2,101.0,Unknown,Unknown,Unknown,Unknown Payment,Unknown,Finished,North Coast
Chalet,230000,2,2,92.0,Unknown,Ground,Unknown,Unknown Payment,Unknown,Finished,North Coast
Chalet,240000,2,2,192.0,Unknown,Unknown,Unknown,Unknown Payment,Unknown,Finished,North Coast
Chalet,222000,2,2,101.0,No,2,Unknown,Cash or Installment,Unknown,Finished,North Coast
Chalet,270000,2,2,92.0,Unknown,1,Unknown,Cash or Installment,Unknown,Finished,North Coast
Chalet,300000,2,2,115.0,No,1,Amwaj,Unknown Payment,Unknown,Finished,North Coast
Twin house,12000000,5,5,300.0,Yes,Ground,Marina 5,Cash,Ready to move,Finished,North Coast
Chalet,340000,3,2,132.0,No,1,Mountain View North Coast,Cash or Installment,2022,Finished,North Coast
Chalet,808000,3,1,140.0,Unknown,1,Unknown,Unknown Payment,Unknown,Finished,Ras al-Bar
Chalet,604000,1,1,71.0,Unknown,Unknown,Azha,Cash or Installment,Unknown,Finished,Ain Sukhna
Chalet,1127000,3,2,139.0,Unknown,Unknown,Unknown,Cash or Installment,2023,Unknown ,Ain Sukhna
Chalet,500000,3,2,120.0,Unknown,Unknown,Fouka Bay,Cash or Installment,Unknown,Finished,North Coast
Chalet,385000,2,2,95.0,Unknown,Unknown,Fouka Bay,Cash or Installment,Unknown,Finished,North Coast
Twin house,2650000,3,3,155.0,No,Ground,Mountain View North Coast,Cash or Installment,Ready to move,Finished,North Coast
Chalet,360000,2,1,122.0,No,Ground,Unknown,Cash or Installment,Unknown,Unknown ,North Coast
Standalone Villa,1750000,4,3,160.0,No,3,Palm Beach,Cash,Ready to move,Not Finished,Ras Sedr
Chalet,310000,1,1,96.0,No,2,Unknown,Cash or Installment,Unknown,Unknown ,North Coast
Twin house,3100000,3,3,155.0,No,Ground,Mountain View North Coast,Cash or Installment,Ready to move,Finished,North Coast
Duplex,330000,2,1,120.0,No,3,Unknown,Cash,Unknown,Unknown ,Nakheel
Standalone Villa,8125000,4,4,194.0,No,Ground,Majada,Installment,Unknown,Unknown ,Ain Sukhna
Chalet,2000000,2,1,73.0,No,1,Unknown,Cash or Installment,Unknown,Finished,North Coast
Chalet,1100000,2,2,100.0,Yes,2,Porto Sokhna,Unknown Payment,Unknown,Finished,Ain Sukhna
Chalet,4100000,4,3,169.0,No,Unknown,Unknown,Cash or Installment,Unknown,Finished,North Coast
Chalet,340000,2,1,92.0,Unknown,Ground,Mountain View North Coast,Cash or Installment,Unknown,Finished,North Coast
Twin house,5200000,5,3,222.0,No,Unknown,Unknown,Cash or Installment,Unknown,Finished,North Coast
Chalet,2900000,2,2,92.0,No,Highest,Mountain View North Coast,Installment,Unknown,Finished,North Coast
Chalet,4830000,3,2,132.0,No,Unknown,Unknown,Cash or Installment,Unknown,Finished,North Coast
Chalet,2400000,2,2,89.0,No,1,Jefaira,Installment,Unknown,Finished,North Coast
Chalet,2612000,2,2,92.0,No,3,Mountain View North Coast,Cash or Installment,Unknown,Finished,North Coast
Penthouse,2912500,2,2,92.0,No,4,Mountain View North Coast,Cash or Installment,Unknown,Finished,North Coast
Chalet,3700000,3,2,140.0,Yes,Ground,Marina 4,Cash,Ready to move,Unknown ,Alamein
Chalet,4140550,3,2,132.0,No,Ground,Mountain View North Coast,Cash or Installment,Unknown,Finished,North Coast
Chalet,2262500,2,2,70.0,No,4,Mountain View North Coast,Cash or Installment,Unknown,Finished,North Coast
Penthouse,3678000,3,2,125.0,No,4,Mountain View North Coast,Unknown Payment,Unknown,Finished,North Coast
Chalet,1900000,3,2,100.0,No,1,Unknown,Cash or Installment,Ready to move,Finished,Ain Sukhna
Standalone Villa,15500000,3,5,300.0,No,Ground,Seashell,Cash,Ready to move,Semi Finished,North Coast
Chalet,1700000,1,1,65.0,No,1,Unknown,Cash or Installment,Unknown,Finished,North Coast
Chalet,480000,3,3,160.0,Unknown,1,Unknown,Cash or Installment,Ready to move,Finished,North Coast
Chalet,4000000,3,2,144.0,No,Highest,Amwaj,Cash,Ready to move,Finished,North Coast
Chalet,285000,2,2,70.0,Unknown,2,Unknown,Cash or Installment,Unknown,Finished,North Coast
Chalet,2700000,2,2,92.0,Unknown,2,Unknown,Installment,Unknown,Finished,North Coast
Chalet,3000000,2,1,108.0,No,Ground,Amwaj,Cash,Ready to move,Finished,North Coast
Chalet,2800000,2,1,108.0,No,Ground,Amwaj,Cash,Ready to move,Finished,North Coast
Duplex,340000,3,1,120.0,No,6,Unknown,Cash,Unknown,Unknown ,Nakheel
Chalet,485000,2,1,90.0,Yes,3,Unknown,Cash,Unknown,Finished,North Coast
Standalone Villa,13000000,4,6,300.0,No,Ground,Amwaj,Cash,Ready to move,Finished,North Coast
Chalet,3700000,2,2,125.0,No,2,Amwaj,Cash,Ready to move,Finished,North Coast
Chalet,3000000,3,2,140.0,Yes,1,Marina 4,Cash,Ready to move,Finished,Alamein
Chalet,3500000,2,2,108.0,No,Ground,Amwaj,Cash,Ready to move,Finished,North Coast
Chalet,3500000,2,1,110.0,No,Ground,Amwaj,Cash,Ready to move,Finished,North Coast
Chalet,1000000,2,2,120.0,Yes,3,Dimora North Coast,Cash,Ready to move,Finished,North Coast
Chalet,1760000,1,1,95.0,No,1,Jebal,Installment,Unknown,Finished,Ain Sukhna
Chalet,500000,2,2,133.0,Yes,Unknown,Unknown,Unknown Payment,soon,Unknown ,North Coast
Chalet,180000,2,2,85.0,No,1,Unknown,Cash or Installment,Unknown,Finished,North Coast
Chalet,4000000,2,2,115.0,No,3,Amwaj,Cash,Ready to move,Finished,North Coast
Chalet,5800000,2,2,106.0,Yes,Ground,Almaza Bay,Cash,Ready to move,Finished,North Coast
Chalet,2900000,2,2,115.0,No,Highest,Amwaj,Cash,Ready to move,Finished,North Coast
Chalet,675000,2,2,115.0,No,1,Unknown,Cash or Installment,Ready to move,Finished,Ain Sukhna
Chalet,2600000,2,2,115.0,No,Highest,Amwaj,Cash,Ready to move,Finished,North Coast
Chalet,1000000,1,2,76.0,Yes,2,Porto Matrouh,Cash,Unknown,Finished,Marsa Matrouh
Standalone Villa,11790000,5,5,600.0,Unknown,Unknown,Stella Sidi abd elrahman,Unknown Payment,Unknown,Finished,North Coast
Standalone Villa,15000000,4,4,840.0,Unknown,Unknown,Unknown,Unknown Payment,Unknown,Finished,North Coast
Standalone Villa,31000000,5,6,602.0,No,Unknown,Marassi,Unknown Payment,Unknown,Unknown ,North Coast
Chalet,990000,3,2,105.0,Yes,6,Rittal Vieux,Unknown Payment,Unknown,Finished,North Coast
Chalet,4271000,3,2,143.0,No,Ground,Jefaira,Cash or Installment,Unknown,Finished,North Coast
Town House,450000,4,4,170.0,No,Ground,Unknown,Cash or Installment,Unknown,Finished,North Coast
Chalet,2750000,2,2,117.0,Yes,1,Amwaj,Cash,Ready to move,Finished,North Coast
Standalone Villa,11500000,4,4,300.0,Yes,Unknown,Ghazala Bay,Cash,Unknown,Finished,North Coast
Standalone Villa,13500000,4,3,250.0,Unknown,Unknown,Fouka Bay,Cash or Installment,Unknown,Unknown ,North Coast
Standalone Villa,17500000,4,3,,Yes,Unknown,Marina 5,Unknown Payment,Unknown,Finished,North Coast
Chalet,39000,2,2,65.0,Yes,2,Porto Sokhna,Cash,Ready to move,Finished,Ain Sukhna
Standalone Villa,1450000,4,4,225.0,Unknown,Ground,Mountain View North Coast,Cash or Installment,Unknown,Unknown ,North Coast
Chalet,350000,2,2,100.0,Unknown,1,Azha,Cash or Installment,Unknown,Finished,Ain Sukhna
Chalet,2500000,2,1,95.0,No,1,Unknown,Unknown Payment,Unknown,Finished,North Coast
Chalet,8000000,2,2,146.0,No,10+,Alamein Towers,Cash or Installment,Unknown,Finished,North Coast
Chalet,2300000,1,1,70.0,No,1,Unknown,Installment,2025,Finished,North Coast
Standalone Villa,1650000,3,4,270.0,No,2,Golden Beach Ras Sedr,Cash,Unknown,Unknown ,Ras Sedr
Chalet,140000,1,1,81.0,No,1,Baymount,Cash or Installment,Unknown,Finished,Ain Sukhna
Chalet,460000,3,2,120.0,No,1,Lasirena North Coast,Cash or Installment,Ready to move,Finished,North Coast
Chalet,250000,3,2,120.0,No,2,Unknown,Cash or Installment,Unknown,Finished,Ain Sukhna
Chalet,340000,3,2,130.0,No,2,Unknown,Cash or Installment,Unknown,Finished,North Coast
Chalet,350000,2,2,115.0,Unknown,Ground,Amwaj,Cash or Installment,Unknown,Finished,North Coast
Chalet,2400000,2,1,85.0,Unknown,Ground,Mountain View North Coast,Cash or Installment,Unknown,Finished,North Coast
Town House,600000,3,2,170.0,Yes,1,Mountain View North Coast,Cash or Installment,soon,Finished,North Coast
Chalet,2200000,2,1,85.0,Unknown,Ground,Mountain View North Coast,Cash or Installment,Unknown,Finished,North Coast
Chalet,160000,1,1,54.0,No,2,Unknown,Cash or Installment,2025,Finished,Ain Sukhna
Chalet,3200000,3,2,110.0,Unknown,Ground,Mountain View North Coast,Cash or Installment,Unknown,Finished,North Coast
Chalet,3600000,3,3,132.0,No,Ground,Mountain View North Coast,Installment,2022,Finished,North Coast
Duplex,5300000,4,3,180.0,Yes,Ground,Amwaj,Cash,Ready to move,Finished,North Coast
Chalet,270000,3,2,115.0,Unknown,Unknown,Unknown,Unknown Payment,Unknown,Finished,Ain Sukhna
Chalet,1950000,2,1,70.0,Unknown,Ground,Mountain View North Coast,Cash or Installment,Unknown,Finished,North Coast
Chalet,1850000,1,1,68.0,No,1,Unknown,Installment,2026,Finished,North Coast
Chalet,480000,2,2,105.0,No,2,Lasirena North Coast,Cash or Installment,Ready to move,Finished,North Coast
Chalet,351000,3,2,125.0,No,1,Mountain View North Coast,Installment,2026,Finished,New Cairo - El Tagamoa
Chalet,2800000,3,2,125.0,Unknown,1,Mountain View North Coast,Unknown Payment,Unknown,Finished,North Coast
Twin house,15375000,3,3,323.0,Unknown,Unknown,Marassi,Cash,Ready to move,Finished,Marsa Matrouh
Twin house,14000000,3,3,273.0,Unknown,Unknown,Marassi,Cash,Ready to move,Finished,Marsa Matrouh
Chalet,262000,2,2,85.0,No,2,Mountain View North Coast,Installment,2026,Finished,North Coast
Chalet,461000,3,2,130.0,Unknown,2,Bianchi,Unknown Payment,Unknown,Finished,North Coast
Twin house,16400000,4,4,432.0,Unknown,Unknown,Marassi,Cash,Ready to move,Finished,Marsa Matrouh
Town House,15106693,3,3,167.0,Unknown,Unknown,Marassi,Installment,2024,Unknown ,Marsa Matrouh
Twin house,13632500,3,3,277.0,Unknown,Unknown,Marassi,Cash,Unknown,Finished,Marsa Matrouh
Chalet,635000,3,2,117.0,Unknown,Unknown,Unknown,Unknown Payment,Unknown,Finished,North Coast
Town House,2900000,3,3,180.0,No,Ground,Unknown,Cash or Installment,2026,Not Finished,North Coast
Standalone Villa,27000000,6,5,440.0,Unknown,Unknown,Marassi,Unknown Payment,Unknown,Unknown ,North Coast
Chalet,900000,2,1,90.0,Yes,1,Lasirena Sokhna,Cash,Ready to move,Finished,Ain Sukhna
Chalet,1454000,2,1,68.0,Unknown,Ground,Porto Golf Marina,Cash or Installment,Unknown,Finished,North Coast
Chalet,320000,3,2,110.0,Unknown,Ground,Unknown,Cash or Installment,Unknown,Finished,North Coast
Chalet,500000,3,2,160.0,No,1,Unknown,Cash or Installment,Unknown,Finished,North Coast
Chalet,600000,3,2,135.0,No,2,Unknown,Cash or Installment,Unknown,Finished,North Coast
Chalet,220000,2,2,100.0,Unknown,1,Unknown,Cash or Installment,Unknown,Finished,North Coast
Chalet,222000,2,2,95.0,No,2,La Vista Bay East,Installment,2025,Finished,North Coast
Chalet,1750000,3,3,115.0,No,Ground,Cecilia Lagoons,Installment,2024,Finished,North Coast
Chalet,380000,3,3,155.0,Unknown,Unknown,Unknown,Unknown Payment,Unknown,Finished,Ain Sukhna
Chalet,3140000,2,2,165.0,No,3,Unknown,Installment,Unknown,Finished,North Coast
Chalet,720000,3,2,150.0,Unknown,Ground,Unknown,Cash or Installment,Unknown,Finished,Ain Sukhna
Chalet,385000,2,2,100.0,Unknown,1,Unknown,Unknown Payment,Unknown,Unknown ,North Coast
Chalet,470000,3,3,127.0,Unknown,Unknown,Unknown,Unknown Payment,Unknown,Finished,Ain Sukhna
Chalet,535000,2,1,80.0,No,1,Unknown,Cash,Ready to move,Finished,Ras Sedr
Chalet,3170000,2,2,165.0,No,3,Unknown,Installment,2025,Finished,North Coast
Chalet,3900000,4,3,180.0,No,Ground,Fouka Bay,Cash,Ready to move,Finished,North Coast
Chalet,375000,3,2,123.0,No,Ground,Unknown,Cash or Installment,Unknown,Finished,North Coast
Chalet,3850000,2,2,100.0,No,1,Fouka Bay,Installment,2025,Finished,North Coast
Chalet,330000,3,2,125.0,Unknown,1,Mountain View North Coast,Cash or Installment,Unknown,Finished,North Coast
Chalet,720000,3,2,150.0,Unknown,Ground,Unknown,Cash or Installment,Unknown,Finished,Ain Sukhna
Chalet,3200000,2,2,105.0,No,1,Lasirena North Coast,Installment,soon,Finished,North Coast
Chalet,250000,2,2,110.0,Unknown,2,Unknown,Cash or Installment,Unknown,Finished,Ain Sukhna
Chalet,3057000,3,2,115.0,No,1,Amwaj,Cash or Installment,Unknown,Finished,North Coast
Twin house,550000,4,2,200.0,Unknown,Ground,Sea View,Cash or Installment,soon,Finished,North Coast
Town House,500000,4,3,170.0,Unknown,Ground,Unknown,Cash or Installment,Unknown,Semi Finished,North Coast
Chalet,353000,2,1,90.0,No,1,Unknown,Cash or Installment,2025,Finished,Ain Sukhna
Chalet,300000,3,2,125.0,Unknown,Unknown,Unknown,Installment,Unknown,Finished,North Coast
Chalet,3250000,3,2,115.0,No,Ground,Lasirena North Coast,Installment,soon,Finished,North Coast
Chalet,736000,2,2,100.0,Yes,Unknown,Unknown,Cash or Installment,Unknown,Finished,Ain Sukhna
Chalet,495000,2,2,100.0,Unknown,Unknown,Unknown,Unknown Payment,Unknown,Finished,North Coast
Chalet,500000,3,2,144.0,No,Ground,Unknown,Cash or Installment,Ready to move,Finished,North Coast
Chalet,2330000,1,1,70.0,No,Ground,Mountain View North Coast,Installment,2026,Finished,North Coast
Twin house,975000,3,2,240.0,Unknown,Unknown,Unknown,Unknown Payment,Unknown,Finished,North Coast
Chalet,190000,2,2,85.0,Yes,1,Sea View,Cash or Installment,Unknown,Finished,North Coast
Chalet,350000,2,2,115.0,Unknown,Unknown,Unknown,Unknown Payment,Unknown,Finished,North Coast
Chalet,160000,2,1,78.0,No,2,Unknown,Cash or Installment,Unknown,Unknown ,Ras Sedr
Chalet,4400000,4,4,363.0,Unknown,1,Hacienda Bay,Cash,Unknown,Semi Finished,North Coast
Chalet,400000,3,3,147.0,No,1,Unknown,Cash or Installment,Unknown,Finished,North Coast
Chalet,300000,2,2,120.0,No,1,Unknown,Cash or Installment,Unknown,Finished,North Coast
Chalet,290000,2,2,115.0,No,1,Unknown,Cash or Installment,2026,Finished,North Coast
Studio,674000,1,1,45.0,Unknown,Ground,Crystal Lagoon,Cash or Installment,Unknown,Unknown ,North Coast
Chalet,5750000,3,3,140.0,No,Ground,La Vista Ras El Hikma,Installment,Unknown,Finished,North Coast
Chalet,3450000,2,2,106.0,Unknown,4,Unknown,Installment,2026,Finished,North Coast
Chalet,100000,1,1,73.0,No,Ground,IL Monte Galala,Cash or Installment,2025,Finished,Ain Sukhna
Chalet,1900000,1,1,67.0,Unknown,Unknown,Unknown,Unknown Payment,Unknown,Finished,North Coast
Chalet,3470000,3,2,125.0,No,Ground,Unknown,Cash or Installment,Unknown,Finished,North Coast
Town House,4100000,3,2,169.0,No,Unknown,Jefaira,Installment,Unknown,Finished,North Coast
Chalet,305000,3,2,125.0,No,1,La Vista Bay East,Cash or Installment,2026,Finished,North Coast
Chalet,385000,2,2,100.0,Unknown,2,Unknown,Installment,Unknown,Finished,North Coast
Duplex,4000000,3,3,200.0,Yes,1,Marina 1,Cash,Ready to move,Finished,North Coast
Town House,7449282,4,3,234.0,No,Ground,Unknown,Installment,Unknown,Finished,North Coast
Chalet,2200000,2,2,85.0,No,1,Mountain View North Coast,Installment,Unknown,Finished,North Coast
Town House,5550000,3,3,220.0,No,Ground,Mountain View North Coast,Cash,Unknown,Semi Finished,North Coast
Chalet,1250000,2,1,100.0,No,2,Blue Bay Asia,Cash,Ready to move,Finished,Ain Sukhna
Chalet,800000,3,2,146.0,No,10+,Unknown,Cash or Installment,2023,Finished,Alamein
Chalet,2500000,2,2,92.0,Unknown,2,Mountain View North Coast,Cash or Installment,2026,Finished,North Coast
Chalet,290000,3,2,120.0,Unknown,1,Unknown,Unknown Payment,Unknown,Unknown ,North Coast
Chalet,1160000,2,1,95.0,Unknown,1,Unknown,Cash or Installment,Ready to move,Finished,Ain Sukhna
Chalet,175000,2,1,72.0,Unknown,1,Unknown,Unknown Payment,Unknown,Unknown ,North Coast
Standalone Villa,1800000,3,3,213.0,Unknown,2,Unknown,Unknown Payment,Unknown,Unknown ,North Coast
Town House,590000,3,2,157.0,Unknown,2,Unknown,Unknown Payment,Unknown,Unknown ,North Coast
Chalet,314000,3,2,126.0,Unknown,2,Unknown,Unknown Payment,Unknown,Unknown ,North Coast
Chalet,314000,3,2,126.0,Unknown,2,Unknown,Unknown Payment,Unknown,Unknown ,North Coast
Chalet,270000,2,1,98.0,Unknown,1,Unknown,Unknown Payment,Unknown,Unknown ,North Coast
Chalet,314000,3,2,126.0,Unknown,1,Unknown,Unknown Payment,Unknown,Unknown ,North Coast
Chalet,314000,3,2,126.0,Unknown,1,Unknown,Unknown Payment,Unknown,Unknown ,North Coast
Chalet,270000,2,1,98.0,Unknown,1,Unknown,Unknown Payment,Unknown,Unknown ,North Coast
Chalet,2617492,3,2,135.0,No,1,Blue Blue,Cash or Installment,Ready to move,Semi Finished,Ain Sukhna
Chalet,335000,3,2,103.0,Unknown,Ground,Unknown,Unknown Payment,Unknown,Unknown ,North Coast
Standalone Villa,6303000,6,3,,Unknown,Unknown,Unknown,Unknown Payment,Unknown,Unknown ,North Coast
Chalet,380000,3,2,133.0,Unknown,Unknown,Unknown,Unknown Payment,Unknown,Unknown ,North Coast
Chalet,2184000,2,2,72.0,Unknown,Ground,Sea View,Installment,Ready to move,Finished,North Coast
Standalone Villa,1800000,5,4,258.0,Yes,Ground,Unknown,Cash or Installment,soon,Finished,North Coast
Chalet,315000,3,2,126.0,Yes,Unknown,Unknown,Cash or Installment,Unknown,Finished,North Coast
Town House,4560166,4,3,150.0,Unknown,Unknown,Mountain View North Coast,Cash or Installment,Unknown,Unknown ,North Coast
Standalone Villa,63031968,6,4,600.0,No,Unknown,Unknown,Cash or Installment,soon,Semi Finished,North Coast
Chalet,6900000,2,2,128.0,Unknown,1,Marassi,Installment,Ready to move,Finished,North Coast
Chalet,4000000,2,2,130.0,No,Ground,Marassi,Cash,Ready to move,Finished,North Coast
Standalone Villa,12500000,5,5,400.0,No,Ground,La Vista 6,Cash,Ready to move,Finished,Ain Sukhna
Chalet,700000,1,1,48.0,Yes,1,Unknown,Cash,soon,Finished,Marsa Matrouh
Chalet,530000,3,2,131.0,Unknown,Ground,IL Monte Galala,Cash or Installment,Unknown,Finished,Ain Sukhna
Chalet,350000,2,2,125.0,No,1,IL Monte Galala,Cash or Installment,Unknown,Finished,Ain Sukhna
Chalet,400000,3,1,133.0,Unknown,1,Unknown,Cash or Installment,Unknown,Finished,North Coast
Chalet,2679000,2,2,95.0,No,1,Unknown,Cash or Installment,Unknown,Finished,North Coast
Chalet,2100000,2,2,90.0,No,1,La Vista Bay East,Cash or Installment,2026,Finished,North Coast
Studio,730000,1,1,44.0,Yes,2,Unknown,Cash or Installment,Ready to move,Unknown ,Ain Sukhna
Chalet,3850000,2,2,95.0,Unknown,2,Unknown,Cash or Installment,Unknown,Finished,North Coast
Chalet,1500000,1,1,66.0,Unknown,2,Carnelia,Installment,2024,Finished,Ain Sukhna
Chalet,2600000,2,2,95.0,Unknown,2,Unknown,Installment,Unknown,Finished,North Coast
Town House,7500000,4,3,194.0,No,Ground,Unknown,Cash or Installment,2026,Finished,North Coast
Chalet,6200000,3,2,144.0,No,Ground,Palm Hills New Alamein,Cash or Installment,2025,Finished,Alamein
Chalet,2800000,2,1,85.0,No,2,Telal North Coast,Cash or Installment,2026,Finished,North Coast
Chalet,2768300,3,2,125.0,No,3,Bianchi,Cash or Installment,Unknown,Finished,North Coast
Chalet,2990000,3,2,122.0,No,1,Gaia,Cash or Installment,Unknown,Finished,North Coast
Chalet,750000,2,1,88.0,Yes,Ground,Unknown,Unknown Payment,Unknown,Unknown ,North Coast
Chalet,3951000,3,2,131.0,Yes,Ground,Gaia,Cash or Installment,Unknown,Unknown ,North Coast
Chalet,3920000,2,2,109.0,No,Ground,Bianchi,Cash or Installment,Unknown,Finished,North Coast
Chalet,2580000,2,2,97.0,No,Ground,Gaia,Cash or Installment,Unknown,Finished,North Coast
Chalet,2144000,2,2,90.0,Unknown,Unknown,Unknown,Installment,Unknown,Finished,North Coast
Chalet,2920000,3,2,115.0,No,Ground,Amwaj,Cash or Installment,Unknown,Finished,North Coast
Chalet,558000,2,2,89.0,No,2,Bianchi,Cash or Installment,2026,Finished,North Coast
Chalet,700000,2,1,87.0,Yes,Ground,Unknown,Cash or Installment,Unknown,Unknown ,North Coast
Chalet,375000,3,2,125.0,No,2,Unknown,Cash or Installment,Unknown,Finished,North Coast
Penthouse,8000000,4,4,200.0,Unknown,2,Fouka Bay,Installment,2026,Finished,North Coast
Town House,4800000,3,3,180.0,Unknown,Ground,Unknown,Installment,2024,Finished,North Coast
Chalet,3830000,3,2,126.0,Yes,Ground,Gaia,Cash or Installment,Unknown,Unknown ,North Coast
Chalet,6250000,3,3,150.0,No,1,La Vista Ras El Hikma,Installment,Unknown,Finished,North Coast
Chalet,3965000,3,2,125.0,No,Ground,Unknown,Cash or Installment,Unknown,Finished,North Coast
Chalet,390000,3,2,147.0,Unknown,Unknown,Unknown,Unknown Payment,Unknown,Finished,North Coast
Chalet,2620000,2,2,92.0,No,1,Bianchi,Cash or Installment,2026,Finished,North Coast
Chalet,4850000,3,3,150.0,Unknown,1,Fouka Bay,Installment,2026,Finished,North Coast
Chalet,1780000,1,1,70.0,No,Ground,Unknown,Unknown Payment,Unknown,Finished,Ain Sukhna
Chalet,6250000,3,3,150.0,Unknown,3,Fouka Bay,Installment,2026,Finished,North Coast
Chalet,1750000,2,1,81.0,Yes,1,Unknown,Cash or Installment,Unknown,Finished,North Coast
Chalet,2400000,2,2,89.0,Yes,Ground,Gaia,Cash or Installment,Unknown,Unknown ,North Coast
Chalet,1900000,1,1,67.0,No,3,Hacienda West,Cash or Installment,2026,Finished,North Coast
Penthouse,6450000,3,2,150.0,Unknown,2,Fouka Bay,Installment,2026,Finished,North Coast
Chalet,1900000,1,1,67.0,No,3,Hacienda West,Cash or Installment,2026,Finished,North Coast
Chalet,1200000,2,1,80.0,Yes,3,Remas,Cash,Unknown,Finished,Maadi
Chalet,3850000,2,2,115.0,Unknown,1,Fouka Bay,Installment,2026,Finished,North Coast
Chalet,4850000,2,2,100.0,Unknown,Ground,Fouka Bay,Installment,2026,Finished,North Coast
Standalone Villa,21800000,5,7,,Yes,Unknown,Hacienda Bay,Cash,Ready to move,Finished,North Coast
Chalet,2800000,2,2,110.0,Yes,Ground,Unknown,Cash,Ready to move,Finished,North Coast
Chalet,5800000,2,2,123.0,No,Ground,Unknown,Installment,Unknown,Finished,Hurghada
Chalet,2290000,3,2,115.0,No,1,Gaia,Cash or Installment,Unknown,Finished,North Coast
Penthouse,3000000,2,2,95.0,Yes,2,Mountain View North Coast,Cash,Ready to move,Finished,North Coast
Chalet,390000,3,2,115.0,Unknown,Ground,Mountain View North Coast,Cash or Installment,Unknown,Finished,North Coast
Chalet,320000,3,2,158.0,Unknown,Ground,Cali Coast,Cash or Installment,Unknown,Unknown ,North Coast
Chalet,360000,3,2,135.0,No,3,Amwaj,Cash or Installment,Unknown,Finished,North Coast
Penthouse,2100000,3,2,220.0,Yes,2,Blumar North Coast,Cash,Ready to move,Finished,North Coast
Chalet,5200000,1,1,72.0,No,2,Marassi,Cash,Ready to move,Finished,North Coast
